char	bak	crh	kaz	kir	tat	tur
-	True	True	True	True	True	True
2	False	False	False	False	False	True
a	False	True	False	False	False	True
b	False	True	False	False	False	True
c	False	True	False	False	False	True
d	False	True	False	False	False	True
e	False	True	False	False	False	True
f	False	True	False	False	False	True
g	False	True	False	False	False	True
h	False	True	False	False	False	True
i	False	True	True	False	False	True
j	False	True	False	False	False	True
k	False	True	False	False	False	True
l	False	True	False	False	False	True
m	False	True	False	False	False	True
n	False	True	False	False	False	True
o	False	True	False	False	False	True
p	False	True	False	False	False	True
q	False	True	False	False	False	False
r	False	True	False	False	False	True
s	False	True	False	False	False	True
t	False	True	False	False	False	True
u	False	True	False	False	False	True
v	False	True	True	False	False	True
w	False	False	False	False	False	True
y	False	True	False	False	False	True
z	False	True	False	False	False	True
â	False	True	False	False	False	True
ç	False	True	False	False	False	True
î	False	False	False	False	False	True
ñ	False	True	False	False	False	False
ö	False	True	False	False	False	True
ü	False	True	False	False	False	True
ğ	False	True	False	False	False	True
ı	False	True	False	False	False	True
ş	False	True	False	False	False	True
̇	False	True	False	False	False	True
а	True	False	True	True	True	False
б	True	False	True	True	True	False
в	True	False	True	True	True	False
г	True	False	True	True	True	False
д	True	False	True	True	True	False
е	True	False	True	True	True	False
ж	True	False	True	True	True	False
з	True	False	True	True	True	False
и	True	False	True	True	True	False
й	True	False	True	True	True	False
к	True	False	True	True	True	False
л	True	False	True	True	True	False
м	True	False	True	True	True	False
н	True	False	True	True	True	False
о	True	False	True	True	True	False
п	True	False	True	True	True	False
р	True	False	True	True	True	False
с	True	False	True	True	True	False
т	True	False	True	True	True	False
у	True	False	True	True	True	False
ф	True	False	True	True	True	False
х	True	False	True	True	True	False
ц	True	False	True	True	True	False
ч	True	False	True	True	True	False
ш	True	False	True	True	True	False
щ	True	False	True	False	True	False
ъ	True	False	True	True	True	False
ы	True	False	True	True	True	False
ь	True	False	True	True	True	False
э	True	False	True	True	True	False
ю	True	False	True	True	True	False
я	True	False	True	True	True	False
ё	True	False	False	True	True	False
і	False	False	True	False	False	False
ғ	True	False	True	False	False	False
җ	False	False	False	False	True	False
ҙ	True	False	False	False	False	False
қ	False	False	True	False	False	False
ҡ	True	False	False	False	False	False
ң	True	False	True	True	True	False
ҫ	True	False	False	False	False	False
ү	True	False	True	True	True	False
ұ	False	False	True	False	False	False
һ	True	False	True	False	True	False
ә	True	False	True	False	True	False
ө	True	False	True	True	True	False
